Company Name,Company ID,Voltage Level
Advanced Electricity Contracting Co.,AEE,up to 132kV
Advanced Technical Services,ATS,up to 132kV
AL OSAIS Contracting- Power Division,OSA,up to 380kV
Al Sharif Group for Contracting & Development Trading Holding Co.,ASG,up to 380kV
AlBabtain Contracting,BAB,up to 380kV
Alfanar Testing & Commissioning,FAN,up to 380kV
Alsadara For Maintenance Company,ALS,up to 132kV
ALSHARHAN CONTRACTING COMPANY,ASH,up to 132kV
Apex National Industrial Calibration Company (AIC),AIC,up to 132kV
Arab Tech. Limited Company,ATT,up to 132kV
Aspire Solutions Contracting Company,ASC,up to 132kV
BRANCH OF AL KULAIB AND RAMASAMY FOR MECHANICAL AND ELECTRICAL CONTRACTING CO.,AKR,up to 132kV
Branch of ELSEWEDY ELECTRIC for Power System Projects,ELS,up to 380kV
Capital Lights for Electromechanical Co.,CLE,Cable
Civil & Electrical Projects Contracting Co.,CEP,up to 132kV
COGELEX,COG,up to 380kV
CSI COMMISSIONING FOR ELECTROMECHANICAL EQUIPMENT INSTALLATION AND MAINTENANCE LLC,CSI,up to 132kV
ECO Ltd. Arabia for Contracting Co.,ECO,up to 132kV
Electrical Power Systems Est.,EPS,up to 132kV
Energy Distributor LTD.,EDL,GIS Only
Enhancement Power International For Contracting,EPI,up to 132kV
GCC Electrical Testing Laboratory,GCC,Cable/GIS
GIZA Arabia Systems Company,GAS,up to 132kV
Hyundai Engineering & Construction Co Ltd.,MEE,up to 380kV
IGEC Arabia Company,IGE,up to 132kV
Innovative Systems (Isys),INS,up to 380kV
JAL International Co. Ltd.,JAL,up to 380kV
Larsen & Toubro Saudi Arabia LLC,LTS,up to 132kV
Linxon Saudi Arabia Co. Ltd.,LNX,up to 132kV
Middle East Technical Solutions Company,MTS,up to 132kV
Modern Rooting Contracting Est.,MRC,up to 132kV
Mohammed Alojaimi Contracting Est.,OJA,up to 380kV
National Excellence for Construction & Energy (NECE),NEC,up to 380kV
National Inspection & Technical Testing Company,NTT,up to 132kV
NESMA INFRASTRUCTURE & TECHNOLOGY,NIT,up to 132kV
NISSI ENERGY COMPANY,NIS,up to 132kV
PA COST INTERNATIONAL,PAC,up to 132kV
Power Flow Contracting,PFL,up to 132kV
Power Links Contracting Company,PLC,Cable
Power Projects Contracting Company,PPC,Cable
Raissy HGPT Company Ltd.,RCL,up to 132kV
Riyadh Cables Co.,RCC,Cable
SAMA ENERGY,SAE,up to 132kV
Siemens Energy Co.,SIE,up to 380kV
SIEMENS LTD.,SIE_LTD,up to 132kV
Sky Field Company Limited,SKY,up to 132kV
SSEM,SSE,up to 380kV
System House Factory for Electric Panels Co. (SEP),SEP,up to 380kV
TAQQAT GLOBAL COMPANY LTD.,TAQ,up to 132kV
TOP PIONEERS General Contracting,TPC,up to 132kV
Trading and Development Partnership Co.,TDP,up to 380kV
Tran Ji Trading and Contracting Company,TJT,up to 132kV
Voltech Mohawarean Engineering Contractor Co.,VOL,up to 132kV
Wahah Electric Supply Company of Saudi Arabia (WESCOSA),WES,up to 132kV
,,
,,
,,
,,
,,
,,
,,
,,
